#Incident	#Data	#Location	#Target	#Fatalities	#Injuries	#Perps	#AttackType
May_2010_attacks_on_Ahmadi_mosques_in_Lahore	28 May 2010	Lahore, Pakistan		86	120+	Tehrik-i-Taliban Punjab	Grenades
Deltona_massacre	August 6, 2004	Deltona, Florida|Deltona, Volusia County, Florida|Volusia County, Florida, United States|USA		6		Troy Victorino, Jerone Hunter, Robert Cannon, Michael Salas	Home invasion, mass murder, Wiktionary:massacre|massacre
Kharkiv_supermarket_bombings	22 April 2006	Kharkiv, Ukraine	2 supermarkets	0	14		
September_11_attacks	Tuesday, September 11, 2001	New York City; Arlington County, Virginia; and near Shanksville, Pennsylvania.	null	Approximately 3,000 (including 19 hijackers)	More than 6,000	Al-Qaeda led by Osama bin Laden	Aircraft hijacking, mass murder, suicide attack, terrorism
Jerusalem_bus_19_suicide_bombing	January 29, 2004	Jerusalem		11	50+	Al-Aqsa Martyrs' Brigades, Hamas	suicide bombing
2008_Danish_embassy_bombing_in_Islamabad	June 2, 2008	Islamabad, Pakistan	Denmark|Danish Embassy	6 to 8	24	al-Qaeda	Suicide attack|Suicide car bomb
Tapuah_junction_stabbing	February 10, 2010	Tapuah junction, Road 60, West Bank	Israel Defense Forces|IDF soldier	1	1 (perpetrator)	Palestinian police|Palestinian Authority police officer Muhammad Hatib	stabbing
El_Aro_massacre	October 22, 1997	municipality of Ituango, Department of Antioquia|Antioquia	Civilians / presumed guerrillas	15		United Self-Defense Forces of Colombia (AUC)	shooting, mass murder, Wiktionary:massacre|massacre
February_13	null	null	null	null	null	null	null
Munich_massacre	5&acirc;&euro;&ldquo;6 September 1972	Munich, West Germany	Israeli Israel at the Olympics|Olympic team	17 total	null	Black September (group)|Black September	mass murder, massacre, hostage-taking
2002_Mombasa_attacks	November 28, 2002	Mombasa, Kenya	Israelis; hotel and plane	13 victims (3 Israelis, 10 Kenyans) + 3 suicide bombers	80		car bomb, surface-to-air missile
2002_Karachi_bus_bombing	May 8, 2002	Karachi, Pakistan	Westerners	13	40	null	Suicide attack
2004_Madrid_train_bombings	11 March 2004	Madrid, Spain	Cercan&Atilde;&shy;as Madrid|Madrid Commuter Train System	191	2050	null	Backpack bombs
Admiral_Duncan_pub	30 April 1999	Old Compton Street, Soho, London	Admiral Duncan pub	3	approximately 70	David Copeland	Nail bomb
2005_Bali_bombings	1 October 2005	Bali, Indonesia	Main square in central Kuta, warungs along the Jimbaran beach	26	More than 100 people		Suicide attack|Suicide bombings
Red_Lake_massacre	Monday, March 21, 2005	Red Lake, Minnesota, United States	Red Lake Senior High School	10 (including the perpetrator)	5	null	School shooting, murder-suicide, massacre, spree killer|spree killing
1999_Istanbul_bombings	March 13/March 14, 1999	Istanbul, Turkey (geographical coordinates {{Coord|41.01224|28.976018|type:event}})		13		Kurdistan Workers Party suspected	bombings and arson attack
2003_Marriott_Hotel_bombing	August 5, 2003	South Jakarta|Jakarta, Indonesia	{{coord|6|13|37.3|S|106|49|37|E|type:landmark_region:ID|displayinline,title|nameMarriot Hotel}}	12	150	Jemaah Islamiyah	Suicide attack|Suicide bombing, car bomb, and other bombing
Camp_Grant_massacre	April 30, 1871	Camp Grant, Arizona	null	144 killed		null	Mass murder
Concordia_University_massacre	August 24, 1992	{{flagicon|Canada}} Montreal, Quebec, Canada	Concordia University	4	1	Valery Fabrikant	school shooting, massacre
February_2004_Moscow_metro_bombing	February 6, 2004	Moscow, Russia	Moscow Metro train	41	102 to 120	Muslim Society No 3 led by Nikolai Kipkeyev	Suicide attack
11_July_2006_Mumbai_train_bombings	Tuesday {{Start date and years ago|dfyes|2006|07|11}}	Mumbai, India	Western Railway (India)|Mumbai	209	Approximately 714	Students Islamic Movement of India), Lashkar-e-Taiba (LeT), Indian Mujaheedin|IM.	Bombings
17_August_2005_Baghdad_bombings	August 17, 2005	Baghdad, Iraq	bus station, road to hospital	43	76	no one claimed responsibility}}	car bombs
18_February_2007_Baghdad_bombings	February 18, 2007	Baghdad, Iraq		63	120+		Car bombings
1964_Brinks_Hotel_bombing	| date  December 24, 1964	| location  Saigon, South Vietnam	null	| fatalities  2	| injuries  53&acirc;&euro;&ldquo;63	| perps  Vietcong}}	| type  Bombing
2005_Sharm_el-Sheikh_attacks	July 23, 2005	Sharm el-Sheikh, Egypt	A market in downtown Sharm and the Ghazala Gardens hotel	64-88	~ 150	Bedouin militants	Suicide attack|Suicide bombings
1972_Aldershot_Bombing	22 February 1972	List of army barracks around Aldershot|British Army barracks, Aldershot,	British Army barracks	7	18	null	car bomb
1983_United_States_Senate_bombing	November 7, 1983	Washington, D.C.	United States Senate	0	0	Resistance Conspiracy	bombing
2001_Indian_Parliament_attack	13 December 2001	New Delhi, India	Parliament of India building	7 (and 5 militants)	18	Lashkar-e-Taiba|LeT	Shooting
2001_anthrax_attacks	Letters postmarked September 18, 2001 and October 9, 2001; some were opened at a later date	New York	ABC News, CBS News, NBC News, ''New York Post'', ''National Enquirer'', United States Senate|Senators Tom Daschle and Patrick Leahy	5	17 others infected	null	Bioterrorism
2002_Grozny_truck_bombing	December 27, 2002	Grozny, Chechnya (Russia)	Chechen government HQ	83	210	Riyadus Salihiin	Car bombs
2003_Red_Square_bombing	December 9, 2003	Red Square, Moscow	Unknown	6	44	''Riyadus-Salihiin''	Suicide attack
2004_Sinai_bombings	7 October 2004	Taba (Egypt)|Taba and Nuweiba, Sinai Peninsula, Egypt	hotels popular with tourism|tourists	34	171	masterminded by Iyad Saleh and carried out by a Palestinian territories|Palestinian group	car bombings
2005_Jaunpur_train_bombing	28 July 2005	near Jaunpur, Uttar Pradesh|Jaunpur,	Civilian passenger train	13	50	Unknown organisation	Bombing
2005_Musayyib_bombing	July 16, 2005	Musayyib, Iraq	market	100	150	al-Qaeda in Iraq}}	suicide bombing
2006_Moscow_market_bombing	August 21, 2006	Moscow, Russia	Outdoor market	13	47	Russian ultranationalism|ultra-nationalists	Time bombing
2007_London_car_bombs	29 June 2007	London, United Kingdom	Haymarket (London)|Haymarket,	null	0	2,	car bomb
2007_Yazidi_communities_bombings	August 14, 2007	Qahtaniya and Jazeera, Iraq	Yazidis	796	1,562	null	Car bombs
22_January_2007_Baghdad_bombings	January 22, 2007	Bab Al-Sharqi market of Baghdad, Iraq	Shi'a Islam|Shiite marketplace	88	160	Unknown: legal proceedings have not yet taken place.	Car bombs
28_July_2003_Mumbai_bus_bombing	28 July 2003	Mumbai, India		4}}	null	null	Bus Bombing
3_August_2001_Ealing_bombing	3 August 2001	Ealing, London, United Kingdom	Ealing Broadway	0	7	Real IRA	Car bomb
Afula_Bus_suicide_bombing	April 6, 1994	Afula, Israel		9 (including the perpetrator)	55	Hamas,	Suicide attack
Banana_massacre	December 6, 1928	Cienaga, Magdalena|Cienaga, Department of Magdalena|Magdalena	Union workers of the United Fruit Company	Unknown (estimated 47 to 2,000)			shooting, massacre
Claudy_bombing	31 July 1972	Main Street, Claudy,	Unknown	9	30	null	Car bombing
Christmas_Eve_2000_Indonesia_bombings	24 December 2000	Medan, North Sumatra; Bandung and Ciamis, West Java; Mataram (city)|Mataram, West Nusa Tenggara	null	18	null	null	null
Candlemas_Massacre	| date         early 1692	| location     York, Maine|York, District of Maine|Maine district of the Province of Massachusetts Bay	null	| fatalities   ~100 killed	| injuries	| perps        France	| type         Mass murder
2008_Weliveriya_bombing	April 6, 2008	Weliveriya, Sri Lanka		15	90		Improvised explosive device|Roadside bomb
Haifa_bus_37_suicide_bombing	March 5, 2003	Haifa	bus	17	53	Hamas	suicide attack
2002_Jaunpur_train_crash	13 May 2002	Jaunpur, Uttar Pradesh|Jaunpur,	Civilian passenger train	12	80	Student's Islamic Movement of India suspected	Deliberate derailment of train
2006_Toronto_terrorism_plot	June 2nd, 2006 - planned to do; never executed	Toronto, Ontario, Canada	Various places in Canada and Southwestern Ontario, including the Toronto Stock Exchange, Parliament Hill in Ottawa, and the Prime Minister of Canada	null	none	Toronto 18 suspects	Conspiracy (crime)|Conspiracy
Y?ld?z_assassination_attempt	null	null	null	null	null	null	null
R¨ªo_Piedras_massacre	null	null	null	null	null	null	null
Harrods_bombing	17 December 1983	Hans Crescent,	Harrods department store	6	90	null	Car bomb
1_February_2008_Baghdad_bombings	1 February 2008	Baghdad, Iraq		98	208	Unknown: legal proceedings have not yet taken place.	Suicide bombs
April_2010_Baghdad_bombings	23&acirc;&euro;&ldquo;24 April 2010	Baghdad, Iraq	Mostly Shiite gatherings	85+	145+		coordinated bomb detonations
Imam_Ali_Mosque_bombing	August 29, 2003	Najaf, Iraq	Imam Ali Mosque	83	500+	Jama'at al-Tawhid wal-Jihad}}	car bomb
Long_Run_Massacre	September 13, 1781	Floyd's Fork, Kentucky	null	~60 killed		United Kingdom	Mass murder
1987_grenade_attack_in_the_Sri_Lankan_Parliament	| date         {{Start date|1987|08|18}}	| location     Parliament of Sri Lanka, Sri Jayawardenepura	null	| fatalities   2	| injuries     16	| perps        Janatha Vimukthi Peramuna	| type         Hand grenade|Grenade attack
Mapirip¨¢n_Massacre	null	null	null	null	null	null	null
Leighton_case	October 6, 1975	Rome, Italy	Bernardo Leighton	0	2	Direcci&Atilde;&sup3;n de Inteligencia Nacional|DINA, National Vanguard (Italy)|Avanguardia Nazionale	shooting
3_March_2010_Baqubah_bombings	3 March 2010	Baqubah, Iraq		33	55		Car bombs/Suicide bombs
2009_Kabul_Indian_embassy_attack	8 October 2009	Embassy of India, Malalai Watt, Shahr-e-Nau, Kabul, Afghanistan	Indian embassy	17	83	Taliban	Suicide attack|Suicide car bomb
U.S._Embassy	null	null	null	null	null	null	null
Camp_Chapman_attack	December 30, 2009	Khost Province, Afghanistan	Central Intelligence Agency|CIA facility	10 (including the attacker)	6	null	Suicide attack|Suicide bombing
1985_Newry_mortar_attack	28 February 1985	Newry, Northern Ireland	Royal Ulster Constabulary|RUC station	9	37	null	Mortar
2002_Bali_bombings	12 October 2002	Bali, Indonesia	Two nightclubs with Western clientele, US Consular office	202	209	Jemaah Islamiyah members,	Suicide attack|Suicide bombing, car bomb, and other bombing
Centennial_Olympic_Park_bombing	July 27, 1996	Atlanta, Georgia (U.S. state)|Georgia, United States	Centennial Olympic Park	2	111	Eric Robert Rudolph	bombing
Canal_Hotel_bombing	August 19, 2003	Baghdad, Iraq	United Nations headquarters	22 plus a suicide bomber	100+	Al-Qaeda in Iraq|Jama'at al-Tawhid wal-Jihad	truck bomb
2001_shoe_bomb_plot	{{start-date|December 22, 2001}}	En route to Miami, Florida, U.S. from Paris, France	American Airlines Flight 63	null	0	Richard Reid (shoe bomber)|Richard Reid	Shoe bomb
2003_Casablanca_bombings	| date  8 April 2008	Casablanca, Morocco	Western culture|Western and Jewish targets in the bustling tourist city	45	More than 100	Salafia Jihadia	suicide attack
Sarin_gas_attack_on_the_Tokyo_subway	{{Start date|1995|03|20}}	Tokyo, Japan	Tokyo Metro	13	6,252(''50 severe; 984 temporary vision problems'')	Aum Shinrikyo	Chemical warfare
Wall_Street_bombing	September 16, 1920	New York City, New York	Wall Street	38	400	Galleanist anarchists are suspected	car bombing|bomb concealed in horse-drawn wagon
2_March_2004_Iraq_Ashura_bombings	March 2, 2004	Karbala and Baghdad, Iraq	Shi'a Muslims commemorating the Day of Ashura|Ashura festival, including the Kazimiya shrine	at least 178	at least 500	al-Qaeda in Iraq; attacks directed by Abu Abdallah al Hassan Ben Mahmoud	bombing (including car bombs and suicide bombers); mortar (weapon)|mortar, grenade and rocket attacks
2003_Istanbul_bombings	November 15, 2003 and November 20, 2003	Istanbul, Turkey	two synagogues, HSBC Bank (Turkey)|HSBC Bank, British Consulate	57 civilians; 4 suicide bombers	over 700	null	car bombing|truck bombing
2007_Casablanca_bombings	March 11, 2007	Casablanca, Morocco	Internet cafe	1	4	Unknown	suicide attack
Ben_Yehuda_Street_bombings	February 22, 1948	Ben Yehuda Street, Jerusalem	Pedestrian shopping mall	58	123		car bombs
Killough_massacre	October 5, 1838	near Larissa, Texas	null	6 killed		Cherokee	Mass murder
Aramoana_massacre	13&acirc;&euro;&ldquo;14 November 1990	Aramoana, New Zealand		14 (including the perpetrator)	3	null	spree killing|Spree Killing
2007_Fort_Dix_attack_plot	Planned; never executed;	Fort Dix, New Jersey,	Fort Dix military personnel	null			Conspiracy (crime)|Conspiracy
Big_Bottom_massacre	January 2, 1791	near Stockport, Ohio	null	11 killed		Lenape	Mass murder
M62_coach_bombing	4 February 1974	Near Hartshead Moor services|Hartshead Moor service area, M62 motorway,	null	12 (9 soldiers, 3 civilians)	38 (soldiers and civilians)	null	Time bomb (explosive)|Time bomb
2008_Mogadishu_bombings	August 3, 2008	Mogadishu, Somalia	Somali women	at least 21	46+		roadside bombing
First_Magdalena_Massacre	November 3, 1757	Magdalena de Kino, Sonora, New Spain	null	31	unknown	Seri people|Seri	Mass murder
Patt_Junction_Bus_Bombing	June 18, 2002	Jerusalem	Egged bus	19	74+	Hamas	suicide bomber
13_March_2003_Mumbai_train_bombing	13 March 2003	Mumbai, India		10}}	null	null	Bombing
18_April_2007_Baghdad_bombings	18 April 2007	Baghdad, Iraq	Sadriya, Sadr City, Karrada, al-Shurja	198	251	Unknown: legal proceedings have not yet taken place.	Car bombs
1993_World_Trade_Center_bombing	Friday, February 26, 1993	New York City, New York {{Coord|40.711452|N|74.011919|W|}}	World Trade Center	7	1042	Ramzi Yousef and co-conspirators	car bomb|Car Bombing
1_July_2006_Sadr_City_bombing	1 July 2006	Sadr City, Baghdad, Iraq	Market	62	114}}	null	Suicide car bombing
2003_Stavropol_train_bombing	December 5, 2003	Stavropol Krai	regional rail|Regional train	At least 46	More than 170	Riyadus-Salihiin	Suicide bombing
2004_Baqubah_bombing	null	null	null	null	null	null	null
2004_Forward_Operating_Base_Marez_bombing	December 21, 2004	Mosul, Iraq	Forward Operating Base Marez	14 U.S. soldiers	72 (including 51 U.S. soldiers)	Army of Ansar al-Sunna}}	suicide bombing
2006_Dahab_bombings	Avril 24, 2006	Dahab, Egypt	Resort, Nelson Restaurant, Aladdin Caf&Atilde;&copy; and Ghazala Market	23	~ 80	Jama'at al-Tawh&Auml;&laquo;d wal-Jihad	
2006_Digampathana_bombing	16 October 2006	Digampathana, North Central Province, Sri Lanka|North Central Province, Sri Lanka	Sri Lankan Navy bus convoy	at least 101-112 (including bomber)	at least 150	Liberation Tigers of Tamil Eelam	suicide attack|suicide truck bombing
2006_West_Bengal_train_disaster	November 20, 2006	West Bengal, India	train	5	between 25 and 66	unknown	bomb
2007_Amirli_bombing	July 7, 2007	Amirli, Iraq	market	156	255		suicide truck bomb
2007_Baghlan_sugar_factory_bombing	November 6, 2007	Baghlan, Afghanistan	Members of Parliament	at least 75		Unknown: legal proceedings have not yet taken place.	Suicide attack
2007_Dellys_bombing	September 8, 2007	Dellys, Algeria		30	47	Al-Qaeda Organization in the Islamic Maghreb	suicide bombing
2007_John_F._Kennedy_International_Airport_attack_plot	planned, never executed	Jamaica, Queens|New York City, New York, United States	John F. Kennedy International Airport	null	0		Conspiracy (crime)|Conspiracy
2007_Songkhla_bombings	May 27 and May 28, 2007	Songkhla Province, Thailand	JB Hat Yai Hotel, Hat Yai Garden Hotel and a Amphoe Saba Yoi|Saba Yoi market	4	36	possibly Pattani Province|Pattani insurgents	multiple bombings
23_November_2006_Sadr_City_bombings	23 November 2006	Sadr City neighborhood of Baghdad, Iraq	Shia Sadr City Slum	At least 215	257	Al Qaeda	Car bombs and Mortar (weapon)|mortar rounds.
27_October_2003_Baghdad_bombings	October 27, 2003	Baghdad, Iraq	International Red Cross headquarters, 4 Iraqi police stations	33 Iraqis	244}}	null	suicide bombings
29_October_2005_Delhi_bombings	29 October 2005	Delhi, India	Two markets and a bus	62	210	Lashkar-e-Taiba	Bombings
3_February_2007_Baghdad_market_bombing	3 February 2007	Baghdad, Iraq	Sadriyah market	135	339	}}	Suicide car bomb|truck bomb
6_December_2002_Mumbai_bus_bombing	6 December 2002	Mumbai, India		2}}	null	null	Bombing
Batasang_Pambansa_bombing	November 13, 2007	Quezon City, Philippines	Batasang Pambansa Complex	6	12	alleged mastermind former congressman '''Gerry Salapuddin'''	Car bomb|Motorcycle bomb
Bombing_of_the_Hebrew_Benevolent_Congregation_Temple	October 12, 1958	Atlanta, Georgia	Hebrew Benevolent Congregation (Reform Judaism|Reform Jewish temple)	0	0	unknown	Dynamite bombing
Dizengoff_Center_suicide_bombing	March 4, 1996	Tel Aviv	Dizengoff Center	13 Israelis (12 civilians, 1 soldier)	130	Hamas	Suicide bomber
Buratha_Mosque_bombing	April 7, 2006	Baghdad, Iraq	Buratha Mosque	85	160}}	null	Triple suicide bombing
Dawson_College_shooting	September 13, 2006	{{flagicon|Canada}} Montreal, Quebec, Canada	Dawson College	2 (including the perpetrator)	19	Kimveer Gill|Kimveer Singh Gill	School shooting, spree killer|spree shooting, murder-suicide
2006_al-Askari_Mosque_bombing	February 22, 2006	Samarra, Iraq	Al-Askari Mosque	0	0	Al-Qaeda in Iraq (presumed)	Bombing (demolition)
Rafiganj_train_disaster	10 September 2002	Rafiganj,	Civilian passenger train	130+	Unknown, High	Naxalite Maoists suspected	Deliberate derailment of train
Kurnool_train_crash	21 December 2002	Kurnool,	Civilian passenger train	20	80	Lashkar-e-Taiba suspected	Deliberate derailment of train
Egged_bus_36_bombing	April 9, 1995	Vicinity of Kfar Darom, Gaza Strip		9 (including perpetrator)	50	''Operatives'':	Suicide attack
West_German_embassy_siege	| date        24 April 1975	| location    Stockholm, Sweden	| target      West Germany|West German embassy	| fatalities  2 embassy personnel,	| injuries    10 embassy personnel,	| perps       Kommando Holger Meins/Red Army Faction	| type        Siege, hostage crisis
2008_Zagreb_bombing	23 October 2008	Donji Grad|Downtown	Ivo Pukani&Auml;&Dagger;	2	2	&Aring;&frac12;eljko Milovanovi&Auml;&Dagger;	null
1998_Iranian_diplomats_assassination_in_Afghanistan	August 8, 1998	Mazari Sharif, Afghanistan	Iranian diplomats	11	null	Taliban	mass murder, Wiktionary:massacre|massacre, hostage-taking
2009_Palma_Nova_bombing	July 30, 2009	Palma Nova, Calvi&Atilde;&nbsp;, Majorca, Balearic Islands, Spain	Civil Guard (Spain)|Civil Guard barracks	2		ETA	Limpet mine|Limpet bomb
September_15_2006_Yemen_attacks	September 15, 2006	Dubba Port and Mareb	oil facilities	4 attackers, 1 security guard	none reported	suspected Islamism|Islamist militants, possibly Al-Qaeda	failed suicide bombing|suicide car bombing
2009_Nazran_bombing	August 17, 2009	Nazran, Ingushetia (Russia)	Police station	25	164		Suicide attack
15_May_2007_Abu_Sayda_bombing	May 15, 2007	Abu Sayda, Diyala Governorate|Diyala, Iraq	Village market	32-45	Some 60		Chlorine bombings in Iraq|Iraqi chlorine bombing
January_2010_Bajaur_bombing	30 January 2010	Khar, Pakistan	Multiple	16	25		Suicide Bomber
Clark_Massacre	August 30, 1851	near the Raft River, Idaho	null	3 killed		Shoshoni	Mass murder
Heritage_High_School_shooting	May 20, 1999	Conyers, Georgia (U.S. state)|Georgia, United States|USA	null	0	6	null	School shooting
Imam_Abbas_Mosque_bombing	April 28, 2007	Karbala, Iraq	Shiite pilgrims	68	162	null	Suicide car bomb
Imam_Hussein_Mosque_bombing	null	null	null	null	null	null	null
2003_ricin_letters	October 15, 2003	Greenville, South Carolina|Greenville, South Carolina	U.S. Department of Transportation, The White House	0	0	null	Bioterrorism
4_April_2010_Baghdad_bombings	4 April 2010	Baghdad, Iraq	Multiple embassies	42	224		Car bombs
San_Jos¨¦_de_Apartad¨®_massacre	null	null	null	null	null	null	null
July_2010_Zahedan_bombings	null	null	null	null	null	null	null
July_2010_Baghdad_attacks	6-8 July 2010	Baghdad, Iraq	Shia pilgrims	70+	400+		Suicide bomb + other bombings
2009_International_Islamic_University_bombing	20 October 2009	Islamabad, Pakistan	International Islamic University, Islamabad	6	null		suicide bombing
2008_Sri_Lanka_Vavuniya_bombing	June 16, 2008	Vavuniya, Sri Lanka		12	null	null	Bomb on a motorcycle
Peshk?pi_incident	null	null	null	null	null	null	null
Brighton_hotel_bombing	12 October 1984	Brighton, England, United Kingdom	Margaret Thatcher	5	31	null	Time bomb (explosive)|Time bomb
Birmingham_pub_bombings	21 November 1974	Birmingham, England	Public houses in Birmingham	21	182	null	Time bombs
1994_AMIA_bombing	18 July 1994	Buenos Aires, Argentina	Asociaci&Atilde;&sup3;n Mutual Israelita Argentina	85	300+	null	car-bomb
Riyadh_compound_bombings	May 12, 2003	Riyadh, Saudi Arabia	Three compounds frequented by Westerners	35		null	Suicide bombing|suicide attack
Kiryat_Menachem_bus_bombing	November 21, 2002	Kiryat Menachem, Jerusalem		11	50+	Hamas claimed responsibility	suicide bomber
Beslan_school_hostage_crisis	1 September 2004	Beslan, North Ossetia-Alania (Russia)	School Number One (SNO)	At least 385	About 783	Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs|Riyadus-Salikhin	hostage|Hostage taking
Matza_restaurant_suicide_bombing	March 31, 2002	Haifa, Israel		15	40+	Hamas claimed responsibility	suicide bomber
